,precision,recall,f1-score,support
001he,0.9642857142857143,0.9642857142857143,0.9642857142857143,28.0
002hu,0.9285714285714286,1.0,0.9629629629629629,26.0
003hi,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0
004ha,0.9615384615384616,1.0,0.9803921568627451,25.0
005hy,0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
006hh,0.9629629629629629,1.0,0.9811320754716981,26.0
007ho,0.9615384615384616,1.0,0.9803921568627451,25.0
008le,0.9615384615384616,0.8620689655172413,0.9090909090909091,29.0
009lu,0.8148148148148148,0.7857142857142857,0.8,28.0
010li,0.6842105263157895,0.9629629629629629,0.8,27.0
011la,0.9166666666666666,0.8461538461538461,0.88,26.0
012ly,0.7428571428571429,0.9629629629629629,0.8387096774193549,27.0
013ll,1.0,0.96,0.9795918367346939,25.0
014lo,0.9047619047619048,0.7916666666666666,0.8444444444444444,24.0
015_h,0.8333333333333334,0.9090909090909091,0.8695652173913043,33.0
016_h,0.9615384615384616,1.0,0.9803921568627451,25.0
017_h,0.96,0.96,0.96,25.0
018_h,0.9473684210526315,0.9,0.9230769230769231,20.0
019_h,0.8888888888888888,1.0,0.9411764705882353,24.0
020_h,1.0,0.88,0.9361702127659575,25.0
021_h,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
022me,0.896551724137931,0.896551724137931,0.896551724137931,29.0
023mu,0.9545454545454546,1.0,0.9767441860465116,21.0
024mi,0.9545454545454546,0.9130434782608695,0.9333333333333333,23.0
025ma,0.9259259259259259,0.9615384615384616,0.9433962264150944,26.0
026my,0.9565217391304348,0.8461538461538461,0.8979591836734694,26.0
027mm,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
028mo,1.0,0.9,0.9473684210526315,20.0
029_s,0.9354838709677419,0.9354838709677419,0.9354838709677419,31.0
030_s,1.0,1.0,1.0,25.0
031_s,1.0,1.0,1.0,28.0
032_s,0.8571428571428571,0.96,0.9056603773584906,25.0
033_s,0.9696969696969697,0.9696969696969697,0.9696969696969697,33.0
034_s,0.9545454545454546,0.7777777777777778,0.8571428571428571,27.0
035_s,0.9230769230769231,0.96,0.9411764705882353,25.0
036re,0.9285714285714286,0.9629629629629629,0.9454545454545454,27.0
037ru,0.9615384615384616,0.9259259259259259,0.9433962264150944,27.0
038ri,0.7586206896551724,0.9565217391304348,0.8461538461538461,23.0
039ra,1.0,0.8095238095238095,0.8947368421052632,21.0
040ry,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0
041rr,0.96,0.9230769230769231,0.9411764705882353,26.0
042ro,0.9615384615384616,1.0,0.9803921568627451,25.0
043se,0.65625,0.84,0.7368421052631579,25.0
044su,0.75,0.96,0.8421052631578947,25.0
045si,0.8095238095238095,0.6538461538461539,0.723404255319149,26.0
046sa,0.8076923076923077,0.9545454545454546,0.875,22.0
047sy,0.9,0.75,0.8181818181818182,24.0
048ss,0.6470588235294118,0.55,0.5945945945945946,20.0
049so,0.8571428571428571,0.9230769230769231,0.8888888888888888,26.0
050_S,0.6,0.7741935483870968,0.676056338028169,31.0
051_S,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
052_S,0.9285714285714286,0.9629629629629629,0.9454545454545454,27.0
053_S,0.8214285714285714,0.9583333333333334,0.8846153846153846,24.0
054_S,0.8333333333333334,0.9615384615384616,0.8928571428571429,26.0
055_S,1.0,0.3333333333333333,0.5,15.0
056_S,0.8,0.7741935483870968,0.7868852459016393,31.0
057qe,0.8709677419354839,0.9642857142857143,0.9152542372881356,28.0
058qu,0.96,1.0,0.9795918367346939,24.0
059qi,1.0,1.0,1.0,25.0
060qa,1.0,0.9259259259259259,0.9615384615384616,27.0
061qy,1.0,0.9629629629629629,0.9811320754716981,27.0
062qq,0.9583333333333334,0.8518518518518519,0.9019607843137255,27.0
063qo,0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
064be,0.8235294117647058,0.9032258064516129,0.8615384615384616,31.0
065bu,0.9696969696969697,1.0,0.9846153846153847,32.0
066bi,0.9354838709677419,0.90625,0.9206349206349206,32.0
067ba,1.0,1.0,1.0,29.0
068by,0.9696969696969697,1.0,0.9846153846153847,32.0
069bb,0.9629629629629629,0.896551724137931,0.9285714285714286,29.0
070bo,1.0,0.96875,0.9841269841269841,32.0
071ve,0.8333333333333334,0.7894736842105263,0.8108108108108109,19.0
072vu,1.0,0.9333333333333333,0.9655172413793104,15.0
073vi,0.9375,1.0,0.967741935483871,15.0
074va,1.0,1.0,1.0,13.0
075vy,1.0,0.9230769230769231,0.96,13.0
076vv,1.0,0.6923076923076923,0.8181818181818182,13.0
077vo,0.7083333333333334,1.0,0.8292682926829268,17.0
078te,0.9333333333333333,1.0,0.9655172413793104,28.0
079tu,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0
080ti,0.9655172413793104,1.0,0.9824561403508771,28.0
081ta,1.0,0.9629629629629629,0.9811320754716981,27.0
082ty,1.0,0.9259259259259259,0.9615384615384616,27.0
083tt,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0
084to,0.8461538461538461,0.88,0.8627450980392157,25.0
085Ce,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0
086Cu,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0
087Ci,0.9285714285714286,0.9629629629629629,0.9454545454545454,27.0
088Ca,0.9642857142857143,1.0,0.9818181818181818,27.0
089Cy,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0
090CC,1.0,0.9642857142857143,0.9818181818181818,28.0
091Co,0.9523809523809523,0.8333333333333334,0.8888888888888888,24.0
092He,0.6521739130434783,0.6818181818181818,0.6666666666666666,22.0
093Hu,0.9545454545454546,0.9130434782608695,0.9333333333333333,23.0
094Hi,0.8461538461538461,1.0,0.9166666666666666,22.0
095Ha,0.9565217391304348,0.9565217391304348,0.9565217391304348,23.0
096Hy,0.95,0.8636363636363636,0.9047619047619048,22.0
097HH,0.6,0.5454545454545454,0.5714285714285714,11.0
098Ho,1.0,1.0,1.0,20.0
099ne,0.9047619047619048,0.8260869565217391,0.8636363636363636,23.0
100nu,0.92,0.8846153846153846,0.9019607843137255,26.0
101ni,0.8275862068965517,0.9230769230769231,0.8727272727272727,26.0
102na,0.9615384615384616,0.9259259259259259,0.9433962264150944,27.0
103ny,0.875,0.84,0.8571428571428571,25.0
104nn,0.88,0.9166666666666666,0.8979591836734694,24.0
105no,0.88,1.0,0.9361702127659575,22.0
106_n,0.45161290322580644,0.5384615384615384,0.49122807017543857,26.0
107_n,0.8620689655172413,1.0,0.9259259259259259,25.0
108_n,0.9629629629629629,1.0,0.9811320754716981,26.0
109_n,0.88,0.88,0.88,25.0
110_n,0.9545454545454546,0.84,0.8936170212765957,25.0
111_n,0.84,0.875,0.8571428571428571,24.0
112_n,0.9047619047619048,0.8260869565217391,0.8636363636363636,23.0
113xe,0.8181818181818182,0.8181818181818182,0.8181818181818182,33.0
114xu,0.9230769230769231,0.8888888888888888,0.9056603773584906,27.0
115xi,0.9615384615384616,0.8620689655172413,0.9090909090909091,29.0
116xa,0.8571428571428571,0.9,0.8780487804878049,20.0
117xy,0.8888888888888888,0.96,0.9230769230769231,25.0
118xx,1.0,0.4782608695652174,0.6470588235294118,23.0
119xo,0.88,0.9565217391304348,0.9166666666666666,23.0
120ke,0.8823529411764706,0.75,0.8108108108108109,20.0
121ku,0.8846153846153846,0.9583333333333334,0.92,24.0
122ki,0.8620689655172413,1.0,0.9259259259259259,25.0
123ka,0.9230769230769231,0.96,0.9411764705882353,25.0
124ky,1.0,0.9166666666666666,0.9565217391304348,24.0
125kk,0.8846153846153846,0.7666666666666667,0.8214285714285714,30.0
126ko,1.0,0.9310344827586207,0.9642857142857143,29.0
127_H,0.7777777777777778,0.9130434782608695,0.84,23.0
128_H,0.9130434782608695,0.9130434782608695,0.9130434782608695,23.0
129_H,0.92,0.9583333333333334,0.9387755102040817,24.0
130_H,1.0,1.0,1.0,22.0
131_H,1.0,0.8333333333333334,0.9090909090909091,24.0
132_H,0.9090909090909091,0.5555555555555556,0.6896551724137931,18.0
133_H,0.9565217391304348,0.88,0.9166666666666666,25.0
134we,0.84375,0.9642857142857143,0.9,28.0
135wu,1.0,0.6875,0.8148148148148148,16.0
136wi,0.8666666666666667,0.9629629629629629,0.9122807017543859,27.0
137wa,0.8928571428571429,0.9259259259259259,0.9090909090909091,27.0
138wy,0.896551724137931,1.0,0.9454545454545454,26.0
139ww,0.8888888888888888,0.9696969696969697,0.927536231884058,33.0
